timestamp,X,Y,Z
1788345178317,0.942772,6.257231,7.762317
1788345178326,0.595813,6.271588,7.719246
1788345178334,0.356531,6.331409,7.604390
1788345178343,0.251246,6.305088,7.549356
1788345178351,0.215354,6.312266,7.580462
1788345178359,0.260818,6.333802,7.630712
1788345178368,0.387637,6.343373,7.671390
1788345178376,0.583849,6.360123,7.688139
1788345178385,0.708275,6.345766,7.700103
1788345178393,0.782453,6.331409,7.724031
1788345178401,0.803988,6.317052,7.714460
1788345178410,0.727418,6.326623,7.735996
1788345178418,0.624527,6.324230,7.714460
1788345178427,0.528814,6.321837,7.654640
1788345178435,0.454636,6.336195,7.635497
1788345178444,0.428315,6.340980,7.630712
1788345178452,0.605384,6.307480,7.633104
1788345178460,0.598206,6.312266,7.671390
1788345178469,0.643669,6.326623,7.719246
1788345178477,0.648455,6.317052,7.707282
1788345178486,0.648455,6.317052,7.726424
1788345178494,0.646062,6.312266,7.688139
1788345178502,0.622134,6.305088,7.642675
1788345178511,0.622134,6.312266,7.666604
1788345178519,0.600598,6.305088,7.676175
1788345178528,0.624527,6.302695,7.709674
1788345178536,0.619741,6.314659,7.735996
1788345178544,0.612563,6.312266,7.709674
1788345178553,0.605384,6.312266,7.671390
1788345178561,0.598206,6.317052,7.630712
1788345178570,0.571885,6.324230,7.597212
1788345178578,0.583849,6.309873,7.578069
1788345178586,0.624527,6.333802,7.640283
1788345178595,0.653241,6.312266,7.745567
1788345178603,0.689133,6.305088,7.769495
1788345178612,0.674776,6.295516,7.759924
1788345178620,0.650848,6.317052,7.702496
1788345178628,0.619741,6.317052,7.642675
1788345178637,0.598206,6.324230,7.637890
1788345178645,0.598206,6.314659,7.654640
1788345178654,0.614955,6.324230,7.657032
1788345178662,0.612563,6.307480,7.676175
1788345178670,0.600598,6.319445,7.678568
1788345178679,0.598206,6.307480,7.683353
1788345178687,0.598206,6.300302,7.664211
1788345178696,0.607777,6.309873,7.647461
1788345178704,0.636491,6.314659,7.657032
1788345178713,0.648455,6.329016,7.695318
1788345178721,0.665205,6.302695,7.707282
1788345178729,0.665205,6.317052,7.724031
1788345178738,0.662812,6.312266,7.724031
1788345178746,0.662812,6.309873,7.704889
1788345178755,0.638884,6.319445,7.702496
1788345178763,0.629312,6.309873,7.661818
