t,x,y,z,h,e,m,gate,uptake,activator
0.0,0.1,-0.001,-0.10060000000000001,0.01054291580458846,0.34543116798696905,0.0,0.6456563062257954,0.6193832013030905,0.7240037622478512
0.01,0.09999000000000001,-0.002006,-0.10118168591926087,0.02108821173966552,0.3409090078233951,8.94914641674458e-05,0.6393598991801307,0.6149444579580443,0.7168341273907441
0.02,0.09996994000000001,-0.003017816859192609,-0.10174489145468407,0.03163344497557648,0.33643399612031155,0.000268420306324547,0.633080253455159,0.6104557199171888,0.7096887450552559
0.03,0.09993976183140808,-0.00403526577373945,-0.10228945587807503,0.04217619091868241,0.33200657735321504,0.0005366918545860176,0.6268212714798287,0.6059201769036355,0.7025719109624219
0.04,0.09989940917367068,-0.0050581603325202,-0.10281522406085974,0.05271404476695509,0.32762716317081086,0.0008941711043441568,0.6205867601467944,0.6013410893727555,0.69548780976075
0.05,0.09984882757034548,-0.006086312573128797,-0.10332204649202474,0.06324462295483776,0.3232961318126616,0.0013406830470379658,0.6143804213372378,0.5967217776563862,0.6884405047442895
0.06,0.09978796444461419,-0.007119533038049044,-0.10380977928945348,0.07376556448519199,0.3190138276379759,0.0018760130726124785,0.6082058431953752,0.5920656108779319,0.6814339284151448
0.07,0.09971676911423369,-0.008157630830943579,-0.10427828420484941,0.08427453214704693,0.3147805607668881,0.0024999074432702044,0.6020664921897455,0.587375995726884,0.674471873929718
0.08,0.09963519280592426,-0.009200413672992073,-0.10472742862245146,0.09476921361876012,0.3105966068346911,0.0032120738358365386,0.5959657059896651,0.5826563651813543,0.667557987458271
0.09,0.09954318866919433,-0.010247687959216588,-0.1051570855517608,0.10524732245707592,0.30646220685861336,0.0040121819498069415,0.5899066871765342,0.5779101672660356,0.6606957614777456
0.1,0.09944071178960216,-0.011299258814734196,-0.10556713361450917,0.11570659897341778,0.30237756721587766,0.004899864177916951,0.5838924978011104,0.5731408539306372,0.6538885290082902
0.11,0.09932771920145482,-0.012354930150879288,-0.10595745702610788,0.12614481099956115,0.29834285973096625,0.005874716335877621,0.5779260547895566,0.5683518701303475,0.6471394587947629
0.12,0.09920416989994603,-0.013414504721140367,-0.10632794557182375,0.13655975454559674,0.29435822186924704,0.006936298447749364,0.5720101261931356,0.563546643185371,0.6404515514257352
0.13,0.09907002485273463,-0.014477784176858605,-0.10667849457793348,0.14694925435379916,0.29042375703340045,0.008084135583286484,0.566147328268967,0.5587285724911972,0.6338276363743258
0.14,0.09892524701096604,-0.01554456912263794,-0.10700900487811084,0.15731116435265613,0.28653953495843304,0.009317718743472965,0.5603401233723618,0.5539010196450735,0.6272703699376213
0.15,0.09876980131973966,-0.016614659171419046,-0.10731938277530272,0.167643368015884,0.2827055922004799,0.010636505790386545,0.5545908186349822,0.5490672990473899,0.6207822340445948
0.16,0.09860365472802547,-0.017687852999172072,-0.10760953999934962,0.17794377863174954,0.2789219327140856,0.012039922417472223,0.5489015653974862,0.5442306690294045,0.6143655358963449
0.17,0.09842677619803375,-0.018763948399165568,-0.10787939366060453,0.1882103394884353,0.2751885285122169,0.013527363156276825,0.543274359360453,0.5393943235511622,0.6080224083972
0.18,0.0982391367140421,-0.019842742335771612,-0.10812886619980072,0.1984410239815233,0.27150532040290387,0.015098192415691991,0.5377110414132537,0.5345613845056947,0.6017548113307783
0.19,0.09804070929068438,-0.02092403099776962,-0.1083578853344149,0.20863383564992938,0.2678722187961246,0.01675174554977228,0.532213299097156,0.5297348946577828,0.5955645332314776
0.2,0.09783146898070669,-0.02200760985111377,-0.10856638400176644,0.2187868081468007,0.2642891045743479,0.018487329950236515,0.5267826686563049,0.5249178112378627,0.5894531938990643
0.21,0.09761139288219554,-0.023093273691131434,-0.10875430029908713,0.22889800515199313,0.2607558300200191,0.020304226159822084,0.5214205376282975,0.5201130002041601,0.5834222475020292
0.22,0.09738046014528423,-0.024180816694122306,-0.10892157742078877,0.2389655202327764,0.2572722197932195,0.022201689002742185,0.5161281479248303,0.5153232311789595,0.5774729862141293
0.23,0.09713865197834301,-0.025270032468330192,-0.10906816359314826,0.24898747665938023,0.2538380719527412,0.024178948728592425,0.5109065993523006,0.5105511730581671,0.5716065443280027
0.24,0.09688595165365971,-0.026360714104261676,-0.10919401200662154,0.2589620271818953,0.25045315901389453,0.02623521216616464,0.5057568535222504,0.5057993902870329,0.5658239027898675
0.25,0.09662234451261709,-0.027452654224327893,-0.10929908074598947,0.268887353774888,0.24711722903649572,0.028369663883749792,0.5006797381020829,0.5010703397891871,0.560125894100037
0.26,0.09634781797037381,-0.02854564503178779,-0.10938333271852993,0.2787616673558822,0.24383000673666755,0.030581467352646687,0.495675951357518,0.49636636853099286,0.5545132075252345
0.27,0.09606236152005593,-0.029639478358973088,-0.10944673558040177,0.2885832074836108,0.24059119461631215,0.03286976611073737,0.4907460669397111,0.49168971169870795,0.5489863945704176
0.28,0.0957659667364662,-0.030733945714777104,-0.10948926166141762,0.2983502420416515,0.23740047410438353,0.03523368492314146,0.485890538871782,0.4870424914620471,0.5435458746599271
0.29,0.09545862727931843,-0.03182883833139128,-0.10951088788837389,0.3080610669127423,0.23425750670438644,0.03767233093711878,0.48110970669163433,0.4824267162944895,0.5381919409802326
0.3,0.09514033889600453,-0.03292394721027502,-0.10951159570709816,0.31771400564872826,0.23116193514285394,0.04018479482855123,0.4764038007103187,0.47784428081803,0.5329247664392519
0.31,0.09481109942390177,-0.034019063167346,-0.10949137100336599,0.32730740914072637,0.2281133845139021,0.042770151937498925,0.47177294734776265,0.4732969661380406,0.5277444097001386
0.32,0.09447090879222832,-0.03511397687737966,-0.1094502040228314,0.3368396552937211,0.22511146341532076,0.045427463390491425,0.46721717451039235,0.4687864406324366,0.5226508212504868
0.33,0.09411976902345452,-0.03620847891760797,-0.1093880892901081,0.3463091487094177,0.22215576507202897,0.048155777207380984,0.46273641697796797,0.4643142611584129,0.5176438494710572
0.34,0.09375768423427844,-0.03730235981050905,-0.1093050255271315,0.3557143203807941,0.21924586844309732,0.05095412939075001,0.4583305217697879,0.4598818746395625,0.5127232466713073
0.35000000000000003,0.09338466063617334,-0.038395410065780365,-0.10920101557092497,0.36505362740140757,0.21638133930891373,0.053821544996028675,0.45399925346326436,0.4554906199962041,0.5078886750622077
0.36,0.09300070653551554,-0.039487420221489614,-0.10907606629088773,0.37432555269213286,0.2135617313354379,0.05675703918063959,0.44974229944067956,0.45114173038213845,0.5031397126399608
0.37,0.09260583233330064,-0.04057818088439849,-0.10893018850571631,0.38352860474763806,0.21078658711285217,0.05975961823064441,0.4455592750426844,0.44683633569180076,0.49847585895731406
0.38,0.09220005052445665,-0.04166748276945565,-0.1087633969000659,0.39266131740454707,0.20805543916626734,0.06282828056352113,0.44144972860976567,0.4425754653028409,0.4938965407621293
