t,mode,x,y,z,h,e,r,gate,drive,effective_input
0.0,activator_moderator,0.1,-0.001,-0.10060000000000001,0.01054291580458846,0.34543116798696905,0.0,0.6456563062257954,0.6193832013030905,0.7240037622478512
0.01,activator_moderator,0.09999000000000001,-0.002006,-0.10118168591926087,0.02108821173966552,0.3409090078233951,8.94914641674458e-05,0.6393598991801307,0.6149444579580443,0.7168341273907441
0.02,activator_moderator,0.09996994000000001,-0.003017816859192609,-0.10174489145468407,0.03163344497557648,0.33643399612031155,0.000268420306324547,0.633080253455159,0.6104557199171888,0.7096474652512957
0.03,activator_moderator,0.09993976183140808,-0.00403526577373945,-0.10228945587807503,0.04217619091868241,0.33200657735321504,0.0005366918545860176,0.6268212714798287,0.6059201769036355,0.7024493523766994
0.04,activator_moderator,0.09989940917367068,-0.0050581603325202,-0.10281522406085974,0.05271404476695509,0.32762716317081086,0.0008941711043441568,0.6205867601467944,0.6013410893727555,0.6952452736517996
0.05,activator_moderator,0.09984882757034548,-0.006086312573128797,-0.10332204649202474,0.06324462295483776,0.3232961318126616,0.0013406830470379658,0.6143804213372378,0.5967217776563862,0.6880406078247037
0.06,activator_moderator,0.09978796444461419,-0.007119533038049044,-0.10380977928945348,0.07376556448519199,0.3190138276379759,0.0018760130726124785,0.6082058431953752,0.5920656108779319,0.6808406139603783
0.07,activator_moderator,0.09971676911423369,-0.008157630830943579,-0.10427828420484941,0.08427453214704693,0.3147805607668881,0.0024999074432702044,0.6020664921897455,0.587375995726884,0.6736504188847887
0.08,activator_moderator,0.09963519280592426,-0.009200413672992073,-0.10472742862245146,0.09476921361876012,0.3105966068346911,0.0032120738358365386,0.5959657059896651,0.5826563651813543,0.666475005670442
0.09,activator_moderator,0.09954318866919433,-0.010247687959216588,-0.1051570855517608,0.10524732245707592,0.30646220685861336,0.0040121819498069415,0.5899066871765342,0.5779101672660356,0.6593192032023993
0.1,activator_moderator,0.09944071178960216,-0.011299258814734196,-0.10556713361450917,0.11570659897341778,0.30237756721587766,0.004899864177916951,0.5838924978011104,0.5731408539306372,0.652187676852071
0.11,activator_moderator,0.09932771920145482,-0.012354930150879288,-0.10595745702610788,0.12614481099956115,0.29834285973096625,0.005874716335877621,0.5779260547895566,0.5683518701303475,0.6450849202745937
0.12,activator_moderator,0.09920416989994603,-0.013414504721140367,-0.10632794557182375,0.13655975454559674,0.29435822186924704,0.006936298447749364,0.5720101261931356,0.563546643185371,0.6380152483344809
0.13,activator_moderator,0.09907002485273463,-0.014477784176858605,-0.10667849457793348,0.14694925435379916,0.29042375703340045,0.008084135583286484,0.566147328268967,0.5587285724911972,0.6309827911536826
0.14,activator_moderator,0.09892524701096604,-0.01554456912263794,-0.10700900487811084,0.15731116435265613,0.28653953495843304,0.009317718743472965,0.5603401233723618,0.5539010196450735,0.6239914892662917
0.15,activator_moderator,0.09876980131973966,-0.016614659171419046,-0.10731938277530272,0.167643368015884,0.2827055922004799,0.010636505790386545,0.5545908186349822,0.5490672990473899,0.6170450898550431
0.16,activator_moderator,0.09860365472802547,-0.017687852999172072,-0.10760953999934962,0.17794377863174954,0.2789219327140856,0.012039922417472223,0.5489015653974862,0.5442306690294045,0.6101471440364991
0.17,activator_moderator,0.09842677619803375,-0.018763948399165568,-0.10787939366060453,0.1882103394884353,0.2751885285122169,0.013527363156276825,0.543274359360453,0.5393943235511622,0.6033010051545119
0.18,activator_moderator,0.0982391367140421,-0.019842742335771612,-0.10812886619980072,0.1984410239815233,0.27150532040290387,0.015098192415691991,0.5377110414132537,0.5345613845056947,0.5965098280352
0.19,activator_moderator,0.09804070929068438,-0.02092403099776962,-0.1083578853344149,0.20863383564992938,0.2678722187961246,0.01675174554977228,0.532213299097156,0.5297348946577828,0.5897765691513239
0.2,activator_moderator,0.09783146898070669,-0.02200760985111377,-0.10856638400176644,0.2187868081468007,0.2642891045743479,0.018487329950236515,0.5267826686563049,0.5249178112378627,0.5831039876395671
0.21,activator_moderator,0.09761139288219554,-0.023093273691131434,-0.10875430029908713,0.22889800515199313,0.2607558300200191,0.020304226159822084,0.5214205376282975,0.5201130002041601,0.5764946471108352
0.22,activator_moderator,0.09738046014528423,-0.024180816694122306,-0.10892157742078877,0.2389655202327764,0.2572722197932195,0.022201689002742185,0.5161281479248303,0.5153232311789595,0.5699509181912101
0.23,activator_moderator,0.09713865197834301,-0.025270032468330192,-0.10906816359314826,0.24898747665938023,0.2538380719527412,0.024178948728592425,0.5109065993523006,0.5105511730581671,0.5634749817296312
0.24,activator_moderator,0.09688595165365971,-0.026360714104261676,-0.10919401200662154,0.2589620271818953,0.25045315901389453,0.02623521216616464,0.5057568535222504,0.5057993902870329,0.5570688326076219
0.25,activator_moderator,0.09662234451261709,-0.027452654224327893,-0.10929908074598947,0.268887353774888,0.24711722903649572,0.028369663883749792,0.5006797381020829,0.5010703397891871,0.5507342840864149
0.26,activator_moderator,0.09634781797037381,-0.02854564503178779,-0.10938333271852993,0.2787616673558822,0.24383000673666755,0.030581467352646687,0.495675951357518,0.49636636853099286,0.5444729726275355
