МОДЕЛЬ ЗВЕЗДА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Исходные данные на 18.07.2025 23.30 МСК УЛЬЯНОВСК(20.30 UTC), 54.31667 с.ш ,48.36667 в.д;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Эклиптические координаты всех объектов;;;;;;Вставьте расстояние (?) из JPL Horizons и Stellarium Web (измерение угловых расстояний-эклиптическая сетка);;;L=?*h (h =1 - внешнее воздействие на систему)  ?  ? = L/h  ? h=L/?,  где h = z (табл. 1), тогда ? = L ;;;;;;;;;;;;;;;;;;;;;;;;
Объект;Прямое восхождение (RA);Склонение (Dec);Эклиптическая долгота ;Эклиптическая широта ;Радиус вектор;Радиус-вектор R = ?.;;;? = (h * 10) / (90 - h);;;;;;;;;;;;;;;;;;;;;;;;
Дубхе;165,93;61,75;148,60;59,30;7,778,652.471 а.е.;топоцентрическое расстояние;;;?угол = 0 объект на оси +х;;;;;;;;;;;;;;;;;;;;;;;;
Мерак;165,46;56,38;149,10;53,90;5,040,293.8369 а.е.;топоцентрическое расстояние;;;?угол = 90 объект на оси +z;;;;;;;;;;;;;;;;;;;;;;;;
Фекда;;;;;;;;;?угол = 180 объект на оси -х;;;;;;;;;;;;;;;;;;;;;;;;
Мегрец;183,86;57,03;169,80;53,30;5,261,217.6064 а.е.;топоцентрическое расстояние;;;?угол = 270 объект на оси -z;;;;;;;;;;;;;;;;;;;;;;;;
Алиот;193,51;55,96;338,80;54,20;5,090,906.6985 а.е.;топоцентрическое расстояние;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мицар;200,98;54,93;346,70;52,90;5,223,712.9602 а.е.;топоцентрическое расстояние;;;;;;;;;;;;;;;;;;;;;;;;;;;
Алькаид;206,89;49,31;353,20;46,60;4,945,452.2214 а.е.;топоцентрическое расстояние;;;;;;;;;;;;;;;;;;;;;;;;;;;
Юпитер;48,94;16,92;66,50;1,20;5,4319 а.е.;геоцентрическое расстояние ;;;Таблица 1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Безразмерный угол;;;;Параметрические уравнения спирали;;;Физические значения;;;;Кривизна F;;;;Кручение;;;;;;;
 Расчет ;;;;;;;;;;Число;ПИ;МАХ;2ПИ;2ПИ(А)/МАКС;Х;Y;Z;Х;Y;Z;Z(?=2?);;;;F;;;;G;;;;
Наименование;?;;? (расчетная в ExcеI );Физический статус системы;Разброс в зоне стабилизации (±??);?=180 + 31 * EXP(-0,15 * (?  - 8,28);Z(?=2?);;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;;3;4;5;6;7;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;;;;
Дубхе;2,15;;340,50  ;Сингулярность;;257,76;-1080,01769;;Дубхе;148,60;3,141592654;353,2;6,283185;2,643;-1,136;0,618;2,14900;0,00000;0,00000;0,00000;-1080,01769;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48602,289;0,000;;;;
Мерак;2,16;;340,50  ;Сингулярность;;257,63;-1085,47323;;Мерак;149,10;3,141592654;353,2;6,283185;2,652;-1,143;0,609;2,15986;0,00000;0,00000;0,00000;-1085,47323;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48602,291;0,000;;;;
Мегрец;2,62;;278,81  ;Предбифуркация;;252,40;-1319,19556;;Мегрец;169,80;3,141592654;353,2;6,283185;3,021;-1,381;0,168;2,62492;0,00000;0,00000;0,00000;-1319,19556;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48602,421;0,000;;;;
Алиот;7,40;;180,00  ;Стабилизация;11,6643667;215,38;-3718,07166;;Алиот;338,80;3,141592654;353,2;6,283185;6,027;1,886;-0,494;7,39816;0,00000;0,00000;0,00000;-3718,07166;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48605,210;0,000;;;;
Мицар;7,66;;180,00  ;Стабилизация;10,78827113;214,03;-3848,87154;;Мицар;346,70;3,141592654;353,20;6,283185;6,168;1,956;-0,227;7,65843;0,00000;0,00000;0,00000;-3848,87154;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48605,439;0,000;;;;
Алькаид;7,87;;180,00  ;Стабилизация;10,11021082;212,94;-3957,61639;;Алькаид;353,20;3,141592654;353,20;6,283185;6,283;1,986;0,000;7,87480;0,00000;0,00000;0,00000;-3957,61639;3,340318426;275,1839319;1811,215062;2089,739312;0,052;270,000;48605,635;0,000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
