"id";"name";"flow";"kind"
"a1";"Вклад учредителя";"financing";"income"
"a2";"Выручка от продаж (наличные)";"operating";"income"
"a3";"Выручка от продаж (безналичный расчёт)";"operating";"income"
"a4";"Закупка выпечки";"operating";"expense"
"a5";"Покупка оборудования";"investing";"expense"
"a6";"Закупка молока и молочной продукции";"operating";"expense"
"a7";"Программное обеспечение (касса/CRM)";"operating";"expense"
"a8";"Банковское обслуживание";"operating";"expense"
"a9";"Аренда помещения";"operating";"expense"
"a10";"Закупка кофе и ингредиентов";"operating";"expense"
"a11";"Закупка расходных материалов (упаковка)";"operating";"expense"
"a12";"Коммунальные платежи";"operating";"expense"
"a13";"Связь и интернет";"operating";"expense"
"a14";"Реклама и маркетинг";"operating";"expense"
"a15";"Заработная плата персонала";"operating";"expense"
"a16";"Страховые взносы и НДФЛ (ЕНП)";"operating";"expense"
"a17";"Ремонт и обслуживание оборудования";"operating";"expense"
"a18";"Обучение и медосмотры персонала";"operating";"expense"
"a19";"Налог по УСН";"operating";"expense"
"a20";"Изъятие средств собственником";"financing";"expense"
