"id";"date";"amount";"purpose";"counterparty_id";"article_id"
"t1";"2025-01-02";"900000";"Взнос учредителя на пополнение оборотных средств";"c1";"a1"
"t2";"2025-01-02";"2080";"Приход в кассу: выручка от реализации за 02.01.2025 (наличный расчёт)";"c2";"a2"
"t3";"2025-01-02";"6260";"Зачисление эквайринга/СБП за 02.01.2025 (терминал №1)";"c3";"a3"
"t4";"2025-01-02";"-7300";"Оплата поставки выпечки по накладной №2001 от 02.01.2025";"c4";"a4"
"t5";"2025-01-03";"-540000";"Оплата поставки оборудования (кофемашина, кофемолка, витрина) по счёту №12 от 28.12.2024";"c5";"a5"
"t6";"2025-01-03";"2410";"Приход в кассу: выручка от реализации за 03.01.2025 (наличный расчёт)";"c2";"a2"
"t7";"2025-01-03";"7260";"Зачисление эквайринга/СБП за 03.01.2025 (терминал №1)";"c3";"a3"
"t8";"2025-01-03";"-8300";"Оплата молочной продукции по счёту №501 от 03.01.2025";"c6";"a6"
"t9";"2025-01-03";"-3900";"Оплата подписки на кассовое ПО/CRM, 01.2025";"c7";"a7"
"t10";"2025-01-04";"2810";"Приход в кассу: выручка от реализации за 04.01.2025 (наличный расчёт)";"c2";"a2"
"t11";"2025-01-04";"8450";"Зачисление эквайринга/СБП за 04.01.2025 (терминал №1)";"c3";"a3"
"t12";"2025-01-04";"-6700";"Оплата поставки выпечки по накладной №2002 от 04.01.2025";"c4";"a4"
"t13";"2025-01-04";"-1990";"Абонентская плата за расчётно-кассовое обслуживание, 01.2025";"c8";"a8"
"t14";"2025-01-05";"2010";"Приход в кассу: выручка от реализации за 05.01.2025 (наличный расчёт)";"c2";"a2"
"t15";"2025-01-05";"6080";"Зачисление эквайринга/СБП за 05.01.2025 (терминал №1)";"c3";"a3"
"t16";"2025-01-05";"-108000";"Оплата по договору аренды №14 от 01.02.2024 за 01.2025";"c9";"a9"
"t17";"2025-01-06";"1800";"Приход в кассу: выручка от реализации за 06.01.2025 (наличный расчёт)";"c2";"a2"
"t18";"2025-01-06";"5450";"Зачисление эквайринга/СБП за 06.01.2025 (терминал №1)";"c3";"a3"
"t19";"2025-01-06";"-6900";"Оплата поставки выпечки по накладной №2003 от 06.01.2025";"c4";"a4"
"t20";"2025-01-07";"2100";"Приход в кассу: выручка от реализации за 07.01.2025 (наличный расчёт)";"c2";"a2"
"t21";"2025-01-07";"6370";"Зачисление эквайринга/СБП за 07.01.2025 (терминал №1)";"c3";"a3"
"t22";"2025-01-07";"-15000";"Оплата поставки кофе в зёрнах по счёту №1001 от 05.01.2025";"c10";"a10"
"t23";"2025-01-07";"-9600";"Оплата молочной продукции по счёту №502 от 07.01.2025";"c6";"a6"
"t24";"2025-01-08";"2260";"Приход в кассу: выручка от реализации за 08.01.2025 (наличный расчёт)";"c2";"a2"
"t25";"2025-01-08";"6830";"Зачисление эквайринга/СБП за 08.01.2025 (терминал №1)";"c3";"a3"
"t26";"2025-01-08";"-7400";"Оплата поставки выпечки по накладной №2004 от 08.01.2025";"c4";"a4"
"t27";"2025-01-09";"6260";"Приход в кассу: выручка от реализации за 09.01.2025 (наличный расчёт)";"c2";"a2"
"t28";"2025-01-09";"18980";"Зачисление эквайринга/СБП за 09.01.2025 (терминал №1)";"c3";"a3"
"t29";"2025-01-10";"7330";"Приход в кассу: выручка от реализации за 10.01.2025 (наличный расчёт)";"c2";"a2"
"t30";"2025-01-10";"22260";"Зачисление эквайринга/СБП за 10.01.2025 (терминал №1)";"c3";"a3"
"t31";"2025-01-10";"-8600";"Оплата молочной продукции по счёту №503 от 10.01.2025";"c6";"a6"
"t32";"2025-01-10";"-6700";"Оплата поставки выпечки по накладной №2005 от 10.01.2025";"c4";"a4"
"t33";"2025-01-10";"-11200";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №301";"c11";"a11"
"t34";"2025-01-11";"7280";"Приход в кассу: выручка от реализации за 11.01.2025 (наличный расчёт)";"c2";"a2"
"t35";"2025-01-11";"22160";"Зачисление эквайринга/СБП за 11.01.2025 (терминал №1)";"c3";"a3"
"t36";"2025-01-12";"7470";"Приход в кассу: выручка от реализации за 12.01.2025 (наличный расчёт)";"c2";"a2"
"t37";"2025-01-12";"22760";"Зачисление эквайринга/СБП за 12.01.2025 (терминал №1)";"c3";"a3"
"t38";"2025-01-12";"-7300";"Оплата поставки выпечки по накладной №2006 от 12.01.2025";"c4";"a4"
"t39";"2025-01-12";"-21200";"Оплата коммунальных услуг за December 2024";"c12";"a12"
"t40";"2025-01-13";"6430";"Приход в кассу: выручка от реализации за 13.01.2025 (наличный расчёт)";"c2";"a2"
"t41";"2025-01-13";"19630";"Зачисление эквайринга/СБП за 13.01.2025 (терминал №1)";"c3";"a3"
"t42";"2025-01-14";"6780";"Приход в кассу: выручка от реализации за 14.01.2025 (наличный расчёт)";"c2";"a2"
"t43";"2025-01-14";"20730";"Зачисление эквайринга/СБП за 14.01.2025 (терминал №1)";"c3";"a3"
"t44";"2025-01-14";"-15200";"Оплата поставки кофе в зёрнах по счёту №1002 от 12.01.2025";"c10";"a10"
"t45";"2025-01-14";"-8700";"Оплата молочной продукции по счёту №504 от 14.01.2025";"c6";"a6"
"t46";"2025-01-14";"-7800";"Оплата поставки выпечки по накладной №2007 от 14.01.2025";"c4";"a4"
"t47";"2025-01-15";"6060";"Приход в кассу: выручка от реализации за 15.01.2025 (наличный расчёт)";"c2";"a2"
"t48";"2025-01-15";"18570";"Зачисление эквайринга/СБП за 15.01.2025 (терминал №1)";"c3";"a3"
"t49";"2025-01-15";"-2600";"Абонентская плата за интернет и связь, 01.2025";"c13";"a13"
