Year,Morse,Digital,Voice,Neuro
1.830000000000000000e+03,-1.521871096967504101e-11,3.108877126436914747e-05,9.999689112439543726e-01,-1.510233846149851668e-19
1.835000000000000000e+03,-2.779039472005534310e-11,3.634276951414410883e-05,9.999636572582761840e-01,-4.769584587698780682e-19
1.840000000000000000e+03,-5.076461925883352336e-11,4.248305463751743757e-05,9.999575169961271159e-01,-1.506317489761538744e-18
1.845000000000000000e+03,-9.276848139718359435e-11,4.965886944804747788e-05,9.999503412233203825e-01,-4.757206684821701007e-18
1.850000000000000000e+03,-1.696053152134267761e-10,5.804454255635026536e-05,9.999419556270490173e-01,-1.502404857866118635e-17
1.855000000000000000e+03,-3.102479406256790160e-10,6.784369505117027199e-05,9.999321566151967433e-01,-4.744837000006237255e-17
1.860000000000000000e+03,-5.678635364440383238e-10,7.929414863493376437e-05,9.999207064192288108e-01,-1.498493487035388569e-16
1.865000000000000000e+03,-1.040123401887786807e-09,9.267364911305281719e-05,9.999073273910108473e-01,-4.732466249754374005e-16
1.870000000000000000e+03,-1.906677861815684457e-09,1.083065344824907938e-04,9.998916953721969092e-01,-1.494579858433466748e-15
1.875000000000000000e+03,-3.498430902651962719e-09,1.265714907149348238e-04,9.998734320077207194e-01,-4.720081004242574206e-15
1.880000000000000000e+03,-6.425864356770227350e-09,1.479105458962583035e-04,9.998520958799831382e-01,-1.490658805079267610e-14
1.885000000000000000e+03,-1.181729992933198219e-08,1.728394439786505457e-04,9.998271723733683780e-01,-4.707661198983169418e-14
1.890000000000000000e+03,-2.176243961489332515e-08,2.019594897026706756e-04,9.997980622728857014e-01,-1.486722453757922620e-13
1.895000000000000000e+03,-4.014044363670506425e-08,2.359708159623250022e-04,9.997640693249507660e-01,-4.695175584602606307e-13
1.900000000000000000e+03,-7.417089804771614208e-08,2.756866862500411438e-04,9.997243874861307944e-01,-1.482758250447400945e-12
1.905000000000000000e+03,-1.373289986257461103e-07,3.220476776849378990e-04,9.996780896559961382e-01,-4.682573106213365638e-12
1.910000000000000000e+03,-2.548460374046024460e-07,3.761329039236472466e-04,9.996241219569010905e-01,-1.478745188962380182e-11
1.915000000000000000e+03,-4.741313173031146419e-07,4.391617873840859701e-04,9.995613123906309516e-01,-4.669766459918296547e-11
1.920000000000000000e+03,-8.846075342123560100e-07,5.124720537435141238e-04,9.994884127012553243e-01,-1.474646721150679927e-10
1.925000000000000000e+03,-1.655643047442384830e-06,5.974428697391972239e-04,9.994042132389686639e-01,-4.656602234014170031e-10
1.930000000000000000e+03,-3.109459358076071393e-06,6.952963196071578833e-04,9.993078146101495030e-01,-1.470398739976273959e-09
1.935000000000000000e+03,-5.862008639129134884e-06,8.066343199593414403e-04,9.991992323314965452e-01,-4.642816800516489210e-09
1.940000000000000000e+03,-1.109670637999868355e-05,9.304060699819980025e-04,9.990807052953649681e-01,-1.465896702203646723e-08
1.945000000000000000e+03,-2.109942575805178209e-05,1.061656172096028848e-03,9.989594895339292124e-01,-4.628026718357329216e-08
1.950000000000000000e+03,-4.031066290379401032e-05,1.186668141245371833e-03,9.988537886241147801e-01,-1.461024564133891955e-07
1.955000000000000000e+03,-7.740925587531049970e-05,1.272545441458397975e-03,9.988053250230300995e-01,-4.612086131196822447e-07
1.960000000000000000e+03,-1.494736797493896802e-04,1.244886615099341856e-03,9.989060430348114528e-01,-1.455970161447171121e-06
1.965000000000000000e+03,-2.903867600808466318e-04,9.398165325792235628e-04,9.993551677838861114e-01,-4.597556384492970636e-06
1.970000000000000000e+03,-5.681082342533720197e-04,-0.000000000000000000e+00,1.000582638770079802e+00,-1.453053582636806227e-05
1.975000000000000000e+03,-1.121242210676384916e-03,-2.355391827280734884e-03,1.003522663018052707e+00,-4.602898009568257091e-05
1.980000000000000000e+03,-2.240749299211200734e-03,-7.861734709623152337e-03,1.010249105588099994e+00,-1.466215792656954601e-04
1.985000000000000000e+03,-4.571556803075983375e-03,-2.054466052074769428e-02,1.025589458792325326e+00,-4.732414685017418006e-04
1.990000000000000000e+03,-9.706219103244168728e-03,-5.067686076087678931e-02,1.061959508707615241e+00,-1.576428843494464107e-03
1.995000000000000000e+03,-2.256704224639751247e-02,-1.306198350267386843e-01,1.158883168632110161e+00,-5.696291358974094401e-03
2.000000000000000000e+03,-6.906798055565123440e-02,-4.319178210024071096e-01,1.527780385268557861e+00,-2.679458371049969062e-02
2.005000000000000000e+03,1.213859148318609193e+00,8.074335048434591044e+00,-9.002222796900277046e+00,7.140286001470749211e-01
2.010000000000000000e+03,1.126122923933511044e-01,7.886208261737539527e-01,0.000000000000000000e+00,9.876688143289499844e-02
2.015000000000000000e+03,7.476816253002248336e-02,5.472101659812200758e-01,2.822887598284440358e-01,9.573291166031321076e-02
2.020000000000000000e+03,6.186870369539136660e-02,4.705750366341299173e-01,3.549107981030625303e-01,1.126454615674160886e-01
2.025000000000000000e+03,5.503854360227236620e-02,4.330965556342182277e-01,3.738551460264261661e-01,1.380097547370832956e-01
2.030000000000000000e+03,5.042378301638029969e-02,4.089530626229158083e-01,3.728735769641030595e-01,1.677495773966007631e-01
2.035000000000000000e+03,4.687394018601769713e-02,3.905569153465111576e-01,3.640196678508029748e-01,1.985494766166681635e-01
2.040000000000000000e+03,4.401165749367279972e-02,3.756757853859538643e-01,3.527957533264768353e-01,2.275168037938964383e-01
2.045000000000000000e+03,4.170081947370116171e-02,3.637571136145150152e-01,3.419168332712314573e-01,2.526252336405523935e-01
2.050000000000000000e+03,3.986441171535404920e-02,3.545941798201859285e-01,3.325907532658598509e-01,2.729506551986000673e-01
