t,S,Sym,Power,Elite
0.000000000000000000e+00,2.149999999997849465e-02,2.149999999999999828e-02,1.000000000000000000e+00,1.000000000000000000e+00
5.005005005005005309e-02,2.162075073558292204e-02,2.151851647742033385e-02,9.958893528157449770e-01,1.000620813245444829e+00
1.001001001001001062e-01,2.174217964514777932e-02,2.153704890181444218e-02,9.917956030517631749e-01,1.001242011899975637e+00
1.501501501501501523e-01,2.186429053751046819e-02,2.155559728691635452e-02,9.877186812487218637e-01,1.001863596202859030e+00
2.002002002002002123e-01,2.198708724290004621e-02,2.157416164647193643e-02,9.836585182328105859e-01,1.002485566393510830e+00
2.502502502502502724e-01,2.211057361305732855e-02,2.159274199423889817e-02,9.796150451145683169e-01,1.003107922711495181e+00
3.003003003003003046e-01,2.223475352135570807e-02,2.161133834398678080e-02,9.755881932877141782e-01,1.003730665396525223e+00
3.503503503503503924e-01,2.235963086292266228e-02,2.162995070949699783e-02,9.715778944279834795e-01,1.004353794688462642e+00
4.004004004004004247e-01,2.248520955476192296e-02,2.164857910456283174e-02,9.675840804919685345e-01,1.004977310827318115e+00
4.504504504504504570e-01,2.261149353587633276e-02,2.166722354298943401e-02,9.636066837159641407e-01,1.005601214053251313e+00
5.005005005005005447e-01,2.273848676739142344e-02,2.168588403859385977e-02,9.596456366148176098e-01,1.006225504606570897e+00
5.505505505505505770e-01,2.286619323267964285e-02,2.170456060520505048e-02,9.557008719807842390e-01,1.006850182727735188e+00
6.006006006006006093e-01,2.299461693748530711e-02,2.172325325666386864e-02,9.517723228823862236e-01,1.007475248657351274e+00
6.506506506506506415e-01,2.312376191005025006e-02,2.174196200682309427e-02,9.478599226632776764e-01,1.008100702636175683e+00
7.007007007007007848e-01,2.325363220124014932e-02,2.176068686954742495e-02,9.439636049411136431e-01,1.008726544905114597e+00
7.507507507507508171e-01,2.338423188467164682e-02,2.177942785871351747e-02,9.400833036064231152e-01,1.009352775705223415e+00
8.008008008008008494e-01,2.351556505684007994e-02,2.179818498820996694e-02,9.362189528214881484e-01,1.009979395277707859e+00
8.508508508508508816e-01,2.364763583724798640e-02,2.181695827193734158e-02,9.323704870192262018e-01,1.010606403863922642e+00
9.009009009009009139e-01,2.378044836853431335e-02,2.183574772380816528e-02,9.285378409020779156e-01,1.011233801705372803e+00
9.509509509509510572e-01,2.391400681660438635e-02,2.185455335774696278e-02,9.247209494408994424e-01,1.011861589043713261e+00
1.001001001001001089e+00,2.404831537076052017e-02,2.187337518769023187e-02,9.209197478738585518e-01,1.012489766120748369e+00
1.051051051051051122e+00,2.418337824383352125e-02,2.189221322758648502e-02,9.171341717053358433e-01,1.013118333178433694e+00
1.101101101101101154e+00,2.431919967231470706e-02,2.191106749139623902e-02,9.133641567048312870e-01,1.013747290458873795e+00
1.151151151151151186e+00,2.445578391648893513e-02,2.192993799309204961e-02,9.096096389058728748e-01,1.014376638204324665e+00
1.201201201201201219e+00,2.459313526056808308e-02,2.194882474665849070e-02,9.058705546049331536e-01,1.015006376657191733e+00
1.251251251251251251e+00,2.473125801282554867e-02,2.196772776609218214e-02,9.021468403603467578e-01,1.015636506060031641e+00
