t,stimulus,dopamine,pfc_inhibition,arousal,seg_readiness,refractory,ejaculation_event,phase
0,0.0,0.15,0.85,0.05,0.02,0.0,0.0,baseline
1,0.0,0.14,0.8262499999999999,0.0,0.0,0.0,0.0,baseline
2,0.0,0.12600000000000003,0.8047312499999999,0.0,0.0,0.0,0.0,baseline
3,0.0,0.11340000000000003,0.7852256562499998,0.0,0.0,0.0,0.0,baseline
4,0.0,0.10206000000000003,0.7675367582812498,0.0,0.0,0.0,0.0,baseline
5,0.0,0.09185400000000002,0.751487571741406,0.0,0.0,0.0,0.0,baseline
6,0.0,0.08266860000000002,0.7369186467304568,0.0,0.0,0.0,0.0,baseline
7,0.0,0.07440174000000002,0.7236863200948909,0.0,0.0,0.0,0.0,baseline
8,0.0,0.06696156600000003,0.7116611422915696,0.0,0.0,0.0,0.0,baseline
9,0.0,0.060265409400000025,0.7007264613713647,0.0,0.0,0.0,0.0,baseline
10,0.0,0.05423886846000003,0.6907771483773669,0.0,0.0,0.0,0.0,baseline
11,0.0,0.048814981614000025,0.681718450022759,0.0,0.0,0.0,0.0,baseline
12,0.0,0.04393348345260002,0.6734649559267025,0.0,0.0,0.0,0.0,baseline
13,0.0,0.03954013510734002,0.665939668958534,0.0,0.0,0.0,0.0,baseline
14,0.0,0.03558612159660602,0.6590731683853247,0.0,0.0,0.0,0.0,baseline
15,0.0,0.03202750943694542,0.6528028565481439,0.0,0.0,0.0,0.0,baseline
16,0.0,0.02882475849325088,0.6470722807196337,0.0,0.0,0.0,0.0,baseline
17,0.0,0.02594228264392579,0.6418305226300539,0.0,0.0,0.0,0.0,baseline
18,0.0,0.023348054379533214,0.6370316489000487,0.0,0.0,0.0,0.0,baseline
19,0.0,0.021013248941579892,0.632634216294389,0.0,0.0,0.0,0.0,baseline
20,0.0,0.018911924047421903,0.6286008263193431,0.0,0.0,0.0,0.0,baseline
21,0.0,0.017020731642679712,0.6248977242338981,0.0,0.0,0.0,0.0,baseline
22,0.0,0.015318658478411741,0.6214944380378705,0.0,0.0,0.0,0.0,baseline
23,0.0,0.013786792630570567,0.6183634534434881,0.0,0.0,0.0,0.0,baseline
24,0.0,0.012408113367513511,0.6154799212362146,0.0,0.0,0.0,0.0,baseline
25,0.0,0.01116730203076216,0.6128213937898709,0.0,0.0,0.0,0.0,baseline
26,0.0,0.010050571827685945,0.6103675878244569,0.0,0.0,0.0,0.0,baseline
27,0.0,0.009045514644917351,0.6081001707861091,0.0,0.0,0.0,0.0,baseline
28,0.0,0.008140963180425616,0.6060025684905528,0.0,0.0,0.0,0.0,baseline
29,0.0,0.007326866862383055,0.6040597919071452,0.0,0.0,0.0,0.0,baseline
30,0.0,0.00659418017614475,0.6022582811727807,0.0,0.0,0.0,0.0,baseline
31,0.0,0.0059347621585302745,0.6005857651158804,0.0,0.0,0.0,0.0,baseline
32,0.0,0.005341285942677247,0.5990311347425569,0.0,0.0,0.0,0.0,baseline
33,0.0,0.004807157348409523,0.5975843292917264,0.0,0.0,0.0,0.0,baseline
34,0.0,0.00432644161356857,0.5962362336051591,0.0,0.0,0.0,0.0,baseline
35,0.0,0.0038937974522117134,0.5949785856837574,0.0,0.0,0.0,0.0,baseline
36,0.0,0.003504417706990542,0.5938038934141268,0.0,0.0,0.0,0.0,baseline
37,0.0,0.003153975936291488,0.5927053595510031,0.0,0.0,0.0,0.0,baseline
38,0.0,0.0028385783426623395,0.5916768141324518,0.0,0.0,0.0,0.0,baseline
39,0.0,0.0025547205083961055,0.5907126535869763,0.0,0.0,0.0,0.0,baseline
40,0.55,0.0902992484575565,0.5535077858656766,0.056291116197490255,0.0,0.0,0.0,arousal
41,0.55,0.17489843523154988,0.509145169837223,0.12323326852643592,0.0038695490119930454,0.0,0.0,arousal
42,0.55,0.2577319185610385,0.4580518970368163,0.2001872205686561,0.036498040768576906,0.0,0.0,arousal
43,0.55,0.33997744876180025,0.4005223357643477,0.28671310776200776,0.09642115678365007,0.0,0.0,arousal
44,0.55,0.42265101466182103,0.3367389525464134,0.3825390437838206,0.18240676972884862,0.0,0.0,arousal
45,0.55,0.506639817574021,0.2667891074498868,0.48753580312081285,0.2934485518147998,0.0,0.0,arousal
46,0.55,0.5927294161287002,0.19067854707627074,0.6016964863591225,0.4287576394065031,0.0,0.0,arousal
47,0.55,0.6816261231517424,0.10834218561342698,0.7251202764031115,0.5877532681643772,0.0,0.0,arousal
48,0.55,0.7739755384768794,0.01965265526926909,0.8579995586226365,0.770053054944491,0.0,0.0,arousal
49,0.55,0.8703779404914551,0.0,0.9930525144291766,0.9677549744758267,0.0,0.0,arousal
50,0.55,0.9706453978852273,0.0,1.1286376186901907,1.1776340939495757,0.0,0.0,arousal
51,0.55,1.0744446199657236,0.0,1.2,1.3842097827932076,0.0,0.0,arousal
52,0.55,1.1750001579691514,0.0,1.2,1.4,0.0,0.0,arousal
53,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
54,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
55,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
56,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
57,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
58,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
59,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
60,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
61,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
62,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
63,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
64,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
65,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
66,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
67,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
68,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
69,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
70,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
71,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
72,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
73,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
74,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
75,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
76,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
77,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
78,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
79,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
80,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
81,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
82,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
83,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
84,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
85,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
86,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
87,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
88,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
89,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
90,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
91,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
92,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
93,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
94,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
95,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
96,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
97,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
98,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
99,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
100,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
101,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
102,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
103,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
104,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
105,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
106,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
107,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
108,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
109,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
110,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
111,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
112,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
113,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
114,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
115,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
116,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
117,0.55,1.2,0.0,1.2,1.4,0.0,0.0,arousal
