t,ext_stimulus,novelty,context,stress,opto_dopamine,opto_ach,opto_poa,sensory,mpoa_drive,dopamine,ach,nac_d1,nac_d2,pfc_control,mount,intromission,seg_ready,network_drive,threshold,refractory,event,phase
0,0.02,0.65,0.2,0.05,0.0,0.0,0.0,0.008052301533574833,0.07920523015335748,0.1374677142627386,0.08216470713802174,0.10682342528082904,0.30850387428847137,0.8352999677823021,0.0,0.0,0.0,-0.07662211394445913,0.924,0.0,0,baseline
1,0.02,0.6473381294964029,0.2,0.05,0.0,0.0,0.0,0.018731046142280574,0.08055421456798234,0.15518357735292626,0.08514543571516067,0.1354912271246659,0.33345665129169666,0.8190603301890496,0.0,0.0,0.0,-0.07278586714621131,0.924,0.0,0,baseline
2,0.02,0.6446762589928058,0.2,0.05,0.0,0.0,0.0,0.02322718833289524,0.08336855053256804,0.17281393188567384,0.08852883097783625,0.16588135746174426,0.355046146900831,0.8016401669762575,0.0,0.0,0.0,-0.06811535711375116,0.924,0.0,0,baseline
3,0.02,0.6420143884892087,0.2,0.05,0.0,0.0,0.0,0.02135232629689878,0.08695471980675847,0.1898416986798611,0.09185018258403709,0.1977490131304366,0.37351283571420607,0.7834392900916883,0.0,0.0,0.0,-0.06288722019017852,0.924,0.0,0,baseline
4,0.02,0.6393525179856115,0.2,0.05,0.0,0.0,0.0,0.023885050573161728,0.09169031159162976,0.20701966128346994,0.09558200318233004,0.23104543465893984,0.38899483457447936,0.7642471645377853,0.0,0.0,0.0,-0.05691047777291909,0.924,0.0,0,baseline
5,0.02,0.6366906474820144,0.2,0.05,0.0,0.0,0.0,0.02092008947509079,0.09699433931043998,0.22387452212816022,0.0993084840167949,0.2656056676994538,0.4016801501903762,0.7443922776867198,0.0,0.0,0.0,-0.0504196769448949,0.924,0.0,0,baseline
6,0.02,0.6340287769784173,0.2,0.05,0.0,0.0,0.0,0.028565009691845722,0.10388850973144877,0.24193129193075208,0.10403785704394385,0.3016418007692791,0.4115643876491671,0.7232665400724391,0.0,0.0,0.0,-0.04292001891575707,0.924,0.0,0,baseline
7,0.02,0.6313669064748202,0.2,0.05,0.0,0.0,0.0,0.048678230824465436,0.11363611248913973,0.26318216241284725,0.11097269819529954,0.339821669089717,0.41840430877716706,0.7000265924161596,0.0,0.0,0.0,-0.03371905896145609,0.924,0.0,0,baseline
8,0.02,0.6287050359712231,0.2,0.05,0.0,0.0,0.0,0.049636086765685754,0.12441338697335924,0.285696797824085,0.11850710797826636,0.38028393829694984,0.4222004775994185,0.675588299664296,0.0,0.0,0.0,-0.023510571024069365,0.924,0.0,0,baseline
9,0.02,0.626043165467626,0.2,0.05,0.0,0.0,0.0,0.04924632595153519,0.13612535889389027,0.30947295667308644,0.1265787813055169,0.42315338082911164,0.4229536989186771,0.649951674442272,0.0,0.0,0.0,-0.012300712893966698,0.924,0.0,0,baseline
10,0.02,0.6233812949640288,0.2,0.05,0.0,0.0,0.0,0.05994870636496606,0.1499242193694859,0.3361264798126229,0.13624079724722143,0.46893238796843173,0.4204708363952285,0.6223654738546301,0.0,0.0,0.0,0.000495752120022043,0.924,0.0,0,baseline
11,0.02,0.6207194244604317,0.2,0.05,0.0,0.0,0.0,0.06886682243657234,0.16573114272396852,0.36581508054523704,0.14742399353476637,0.5181155765317749,0.41454948491003857,0.5927306930212528,0.0,0.005084336598790221,0.0,0.015875044121201012,0.924,0.0,0,baseline
12,0.02,0.6180575539568346,0.2,0.05,0.0,0.0,0.0,0.07488686756865678,0.1833681443182095,0.3985117239640187,0.15995783788929857,0.5711473012407122,0.4050006037888544,0.5610089523211033,0.0,0.015468514650610478,0.0,0.03389938862530743,0.924,0.0,0,baseline
13,0.02,0.6153956834532375,0.2,0.05,0.0,0.0,0.0,0.07028066925336084,0.20188902963024938,0.43311104259849376,0.1729725673614485,0.6281675527152479,0.39177724848759243,0.5276377847855648,0.0,0.03096903047032279,0.0,0.05417248706776928,0.924,0.0,0,baseline
14,0.02,0.6127338129496404,0.2,0.05,0.0,0.0,0.0,0.07484426238809007,0.22229400238790928,0.4709058219619306,0.18735170320237077,0.6896180906097089,0.3746796874277811,0.49194924793521005,0.0,0.051571247397900435,0.0,0.07718717012924234,0.924,0.0,0,baseline
15,0.02,0.6100719424460432,0.2,0.05,0.0,0.0,0.0,0.0864442432616098,0.24541248594820925,0.5131223839635788,0.20382035500193083,0.756198522359861,0.3533710169807626,0.4533026661128574,0.0,0.07740792430952509,0.018372969722394425,0.1089668282821595,0.924,0.0,0,baseline
16,0.02,0.6074100719424461,0.2,0.05,0.0,0.0,0.0,0.07715842877771904,0.2693262348556085,0.5574610142516458,0.22062002438955475,0.8279940301083732,0.327807144421527,0.4126553888826798,0.007948333200287008,0.10948227913802612,0.05677506957777585,0.150528391875783,0.924,0.0,0,baseline
17,0.02,0.604748201438849,0.2,0.05,0.0,0.0,0.0,0.0770834160305966,0.2950558190938206,0.6051624776005083,0.23864267763022015,0.905385504178702,0.2977972898883896,0.36933386898439424,0.02486517902538352,0.14898868712067065,0.11570155860734728,0.20286393151320387,0.924,0.0,0,baseline
18,0.02,0.6020863309352518,0.2,0.05,0.0,0.0,0.0,0.06254871530071682,0.32129348561163906,0.6545628955013009,0.2566845092050238,0.9883221685387545,0.263359877933814,0.3240000532476913,0.05071331693274593,0.19683423893176666,0.1954267373342247,0.2656572362366918,0.924,0.0,0,baseline
19,0.02,0.5994244604316548,0.2,0.05,0.0,0.0,0.0,0.05468563389515494,0.34879055073482523,0.7064999441789404,0.2754036542537168,1.0769638248320528,0.22441189073565043,0.276173774527683,0.08560579704464708,0.253953756820154,0.29656071512727566,0.3396044166814848,0.924,0.0,0,baseline
20,0.02,0.5967625899280575,0.2,0.05,0.0,0.0,0.0,0.041588484060712,0.377131726515914,0.7604089642436294,0.2944116132898678,1.1713228467399273,0.18094222048963238,0.22602876749838194,0.129570196101205,0.3211437862083875,0.4196845440165991,0.4248525456819446,0.924,0.0,0,baseline
21,0.02,0.5941007194244604,0.2,0.05,0.0,0.0,0.0,0.045055040581781315,0.4080621580006528,0.8185160813891769,0.31526930327328617,1.271949621942365,0.13267317969844952,0.17246592346820402,0.1829951516943586,0.3994251848411136,0.5660037924369854,0.5228309856063399,0.924,0.0,0,baseline
22,0.02,0.5914388489208633,0.2,0.05,0.0,0.0,0.0,0.03803276263328166,0.4406942236173087,0.8798527505353355,0.3371598023838167,1.3791132866564957,0.07945719064928677,0.11584701943660337,0.24609862474047806,0.48965729722567947,0.7365728068246421,0.6337382487976863,0.924,0.0,0,pre_ejaculatory
23,0.02,0.5887769784172662,0.2,0.05,0.0,0.0,0.0,0.046651865500340076,0.476726277372857,0.9466939170475228,0.3615917951704243,1.4936096477102712,0.020881061071119714,0.055035196253559654,0.3194567998999389,0.5929530696164454,0.9330639296276901,0.7592231639091712,0.924,0.0,0,pre_ejaculatory
24,0.02,0.586115107913669,0.2,0.05,0.0,0.0,0.0,0.05375445282570542,0.516217937970229,1.0194073681554294,0.38858660157986974,1.6,0.0,0.0,0.3996869861117376,0.7084726008684312,1.1490325758391062,0.8893885044604627,0.924,0.0,0,pre_ejaculatory
25,0.02,0.5834532374100719,0.2,0.05,0.0,0.0,0.0,0.05710949764047838,0.5590257019946445,1.0980505477281848,0.4179710034641829,1.6,0.0,0.0,0.4825139946697896,0.8269744003817769,1.3696452029718067,1.0067276594418608,0.924,1.0,1,ejaculation
26,0.02,0.5807913669064748,0.2,0.05,0.0,0.0,0.0,0.03700543429571886,0.430243378718095,1.0226187397015682,0.3425180958025153,1.593074833688465,0.05628575123581181,0.0,0.43839042980092735,0.6575571717804041,0.9474831148034493,0.6251143530906977,1.044,0.991,0,refractory
