t,stimulus,dopamine,ach_trigger,pfc_inhibition,arousal,seg_readiness,refractory,opto_DA,opto_ACh,opto_POA,ejaculation_event,phase
0,0.0,0.15,0.08,0.85,0.05,0.02,0.0,0.0,0.0,0.0,0.0,baseline
1,0.0,0.146172,0.0704,0.82964452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
2,0.0,0.14124444,0.06195200000000001,0.8103838957599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
3,0.0,0.1355207484,0.054517760000000005,0.7922547437396799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
4,0.0,0.12924907926,0.0479756288,0.7752701748066101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
5,0.0,0.12263102014332,0.042218553344,0.7594247373998997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
6,0.0,0.1158290267772444,0.03715232694272,0.744698533393151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
7,0.0,0.10897276241947436,0.032694047709593596,0.7310606317068175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
8,0.0,0.10216449571053181,0.028770761984442363,0.7184718868782515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
9,0.0,0.09548368988070899,0.02531827054630928,0.7068872544088836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
10,0.0,0.08899089804836639,0.022280078080752167,0.6962576814434464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
11,0.0,0.08273106363103723,0.019606468711061906,0.6865316399104627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
12,0.0,0.07673631127545534,0.017253692465734476,0.677656359418537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
13,0.0,0.07102830192172759,0.015183249369846339,0.6695788087441883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
14,0.0,0.06562021541052122,0.013361259445464778,0.6622464674774273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
15,0.0,0.06051841521152551,0.011757908312009005,0.6556079231491124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
16,0.0,0.05572384221487993,0.010346959314567925,0.6496133238090017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
17,0.0,0.051233177926670696,0.009105324196819774,0.6442147114337133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
18,0.0,0.047039811707513174,0.008012685293201401,0.6393662576141583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
19,0.0,0.04313464177012982,0.0070511630580172326,0.6350244196111936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
20,0.0,0.03950673540380547,0.006205023491055165,0.6311480319972929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
21,0.0,0.03614387023037,0.005460420672128545,0.6276983466526462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
22,0.0,0.033032975139494464,0.00480517019147312,0.624639031797207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
23,0.0,0.030160486832479416,0.004228549768496345,0.6219361389647733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
24,0.0,0.027512635564236502,0.003721123796276784,0.6195580453171192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
25,0.0,0.02507567166150073,0.00327458894072357,0.6174753774174363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
26,0.0,0.022836042666946263,0.0028816382678367417,0.6156609215000531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
27,0.0,0.02078052947520751,0.0025358416756963327,0.6140895243592828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
28,0.0,0.018896348554364985,0.002231540674612773,0.6127379882098929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
29,0.0,0.0171712262562435,0.00196375579365924,0.6115849622241144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
30,0.0,0.015593450285772338,0.0017281050984201314,0.6106108329072233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
31,0.0,0.01415190260192713,0.0015207324866097155,0.6097976150200187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
32,0.0,0.012836077341594126,0.0013382445882165496,0.6091288443786347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
33,0.0,0.011636086776792275,0.0011776552376305638,0.608589473548607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
34,0.0,0.010542657820985806,0.0010363366091148962,0.6081657711911629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
35,0.0,0.009547121179561167,0.0009119762160211087,0.6078452256068851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
36,0.0,0.008641394882427182,0.0008025390700985756,0.6076164528480463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
37,0.0,0.007817963634063806,0.0007062343816867466,0.6074691096298431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
38,0.0,0.007069855160375968,0.000621486255884337,0.6073938111572543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
39,0.0,0.00639061451566669,0.0005469079051782166,0.6073820538938123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
40,0.55,0.0946542771311236,0.06648127895655684,0.5774269432274092,0.05755011791389455,0.0,0.0,0.0,0.0,0.0,0.0,arousal
41,0.55,0.18365294123341863,0.12450352548177002,0.5404205163331244,0.13308787763471666,0.026082235864217505,0.0,0.0,0.0,0.0,0.0,arousal
42,0.55,0.272052476134055,0.17556310242395762,0.49664233695839943,0.2246995625992496,0.08939692146057417,0.0,0.0,0.0,0.0,0.0,arousal
43,0.55,0.35881589918326384,0.2204955301330827,0.4464563512492369,0.3305440680970314,0.1866391184747088,0.0,0.0,0.0,0.0,0.0,arousal
44,0.55,0.4431526422461851,0.26003606651711275,0.39028601020710463,0.4488690896777187,0.31463580067424457,0.0,0.0,0.0,0.0,0.0,arousal
45,0.55,0.5244755645354154,0.29483173853505923,0.3285940570722899,0.5780220391818903,0.4703512418853774,0.0,0.0,0.0,0.0,0.0,arousal
46,0.55,0.6023645998204732,0.32545192991085214,0.26186623326213404,0.7164567408998488,0.6508921065956652,0.0,0.0,0.0,0.0,0.0,arousal
47,0.55,0.6765360795381002,0.3523976983215499,0.19059826663931673,0.8627367827041832,0.853511731106903,0.0,0.0,0.0,0.0,0.0,arousal
48,0.55,0.7468169062030426,0.3761099745229639,0.11528560054858474,1.0155362468236897,1.0756132905811941,0.0,0.0,0.0,0.0,0.0,arousal
49,0.55,0.8131228664851455,0.3969767775802082,0.03641540334736691,1.1736384182022281,1.3147517000506947,0.0,0.0,0.0,0.0,0.0,arousal
50,0.55,0.8754404727404845,0.4153395642705832,0.0,1.331379008447541,1.5640347147445268,0.0,0.0,0.0,0.0,0.0,arousal
51,0.55,0.9338118077194917,0.43149881655811323,0.0,1.4843008784937168,1.6,0.0,0.0,0.0,0.0,0.0,arousal
52,0.55,0.9883219214131527,0.44571895857113963,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
53,0.55,1.0390883930953745,0.4582326835426029,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
54,0.55,1.0862527269280315,0.46924476151749056,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
55,0.55,1.1299732971903187,0.4789353901353917,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
56,0.55,1.1704196002968297,0.4874631433191447,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
57,0.55,1.2077676061659308,0.49496756612084736,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
58,0.55,1.2421960319612206,0.5015714581863457,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
59,0.55,1.2738833874222035,0.5073828832039843,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
60,0.55,1.3030056635052722,0.5124969372195062,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
61,0.55,1.329734555375262,0.5169973047531655,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
62,0.55,1.3542361273568846,0.5209576281827857,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
63,0.55,1.3766698416517806,0.5244427128008514,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
64,0.55,1.3971878847777397,0.5275095872647493,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
65,0.55,1.4159347360749246,0.5302084367929794,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
66,0.55,1.4330469314946908,0.5325834243778218,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
67,0.55,1.4486529834517219,0.5346734134524832,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
68,0.55,1.462873423962906,0.5365126038381852,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
69,0.55,1.4758209437749548,0.538131091377603,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
70,0.55,1.4876006048339219,0.5395553604122907,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
71,0.55,1.4983101073914973,0.5408087171628158,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
72,0.55,1.5,0.5419116711032779,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
73,0.55,1.5,0.5428822705708845,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
74,0.55,1.5,0.5437363981023784,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
75,0.55,1.5,0.544488030330093,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
76,0.55,1.5,0.5451494666904818,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
77,0.55,1.5,0.545731530687624,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
78,0.55,1.5,0.5462437470051091,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
79,0.55,1.5,0.546694497364496,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
80,0.55,1.5,0.5470911576807564,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
81,0.55,1.5,0.5474402187590657,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
82,0.55,1.5,0.5477473925079779,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
83,0.55,1.5,0.5480177054070206,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
84,0.55,1.5,0.5482555807581782,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
85,0.55,1.5,0.5484649110671969,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
86,0.55,1.5,0.5486491217391332,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
87,0.55,1.5,0.5488112271304372,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
88,0.55,1.5,0.5489538798747847,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
89,0.55,1.5,0.5490794142898106,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
90,0.55,1.5,0.5491898845750334,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
91,0.55,1.5,0.5492870984260294,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
92,0.55,1.5,0.5493726466149058,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
93,0.55,1.5,0.5494479290211172,0.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,arousal
